kbo_player_id,player_name,birth_date,professional_entry_year,official_join,official_draft,source_url,level,role,verified_through
51013,유준규,2002-08-16,2021,21KT,21 KT 2차 3라운드 25순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51013,futures,hitting,2025
51058,한차현,1998-11-30,2021,21KT,21 KT 2차 2라운드 15순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51058,first_team,pitching,2025
51058,한차현,1998-11-30,2021,21KT,21 KT 2차 2라운드 15순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51058,futures,pitching,2025
51100,이영빈,2002-06-17,2021,21LG,21 LG 2차 1라운드 7순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51100,first_team,hitting,2025
51100,이영빈,2002-06-17,2021,21LG,21 LG 2차 1라운드 7순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51100,futures,hitting,2025
51111,송승기,2002-04-10,2021,22LG,21 LG 2차 9라운드 87순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51111,first_team,pitching,2025
51111,송승기,2002-04-10,2021,22LG,21 LG 2차 9라운드 87순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51111,futures,pitching,2025
51154,김진수,1998-08-31,2021,21LG,21 LG 2차 2라운드 17순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51154,first_team,pitching,2025
51154,김진수,1998-08-31,2021,21LG,21 LG 2차 2라운드 17순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51154,futures,pitching,2025
51203,안재석,2002-02-15,2021,21두산,21 두산 1차,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51203,first_team,hitting,2025
51203,안재석,2002-02-15,2021,21두산,21 두산 1차,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51203,futures,hitting,2025
51264,최승용,2001-05-11,2021,21두산,21 두산 2차 2라운드 20순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51264,first_team,pitching,2025
51264,최승용,2001-05-11,2021,21두산,21 두산 2차 2라운드 20순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51264,futures,pitching,2025
51269,강현구,2002-06-16,2021,21두산,21 두산 2차 3라운드 30순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51269,first_team,hitting,2025
51269,강현구,2002-06-16,2021,21두산,21 두산 2차 3라운드 30순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51269,futures,hitting,2025
51298,박성재,2002-11-18,2021,21두산,21 두산 2차 8라운드 80순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51298,first_team,hitting,2025
51298,박성재,2002-11-18,2021,21두산,21 두산 2차 8라운드 80순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51298,futures,hitting,2025
51299,김주완,1999-10-07,2021,24KT,21 두산 2차 9라운드 90순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51299,first_team,pitching,2025
51299,김주완,1999-10-07,2021,24KT,21 두산 2차 9라운드 90순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51299,futures,pitching,2025
51302,이주형,2002-07-05,2021,21키움,21 키움 2차 4라운드 39순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51302,first_team,hitting,2025
